total_transactions,sent_received_ratio,transaction_density,value_range_sent,value_range_received,avg_value_ratio,total_ether_moved,balance_ratio,fan_in,fan_out,fan_in_out_ratio,unique_address_ratio,is_hub,active_lifespan_hours,avg_time_between_sent,avg_time_between_received,time_regularity,is_short_lived,contract_interaction_rate,contract_value_ratio,created_contracts_flag,erc20_activity_rate,erc20_sent_received_ratio,erc20_unique_tokens_sent,erc20_unique_tokens_received,erc20_token_diversity,erc20_avg_value_ratio,high_value_low_frequency,rapid_drain_indicator,dormancy_score,anomaly_score,FLAG
810,8.101123595414593,0.0011492856345552901,31.22,45.806785,0.18221088566299046,1452.157768,-0.19228242595456593,40,118,0.33898305084458485,0.19506172839482092,1,11746.427166666666,844.26,1093.71,0.7719230874722075,0,0.0,0.0,0,0.3271604938271605,1.0004109676442625,39.0,57.0,96.0,1.0233211425218172,6.952459480522349,1.4761130178347244,7.569912183230232,0.3004654441187266,0
102,11.74999999853125,8.372894369953366e-05,1.8,2.613269,0.08515757655818199,6.172775229,-0.000294650450118528,5,14,0.35714285711734695,0.18627450980209534,1,20303.612166666666,12709.07,2958.44,4.29586876867393,0,0.0,0.0,0,0.0784313725490196,0.005603993135182725,1.0,7.0,8.0,0.03922794410768972,5.974473773370718,1.0005894742649957,9.65940824467721,0.17379875157452285,0
12,0.19999999998,2.3222991225773342e-05,3.4886160000000004,1.052334,4.999381439710171,7.177672299999999,6.144053134587372e-05,10,2,4.9999999975,0.9999999999166667,1,8612.155,246194.54,2434.02,101.14729542070273,0,0.0,0.0,0,0.6666666666666666,0.0,0.0,8.0,8.0,0.0,11.254957084403069,0.9998771262081145,12.423719356862893,0.17361017359040853,0
34,2.7777777774691357,8.552256424819755e-05,450.0,500.0,0.70361493811061,2645.4454210000004,-0.3230632906335347,7,13,0.5384615384201183,0.588235294100346,1,6625.931666666667,10219.6,15785.09,0.6474210790055269,0,0.0,0.0,0,0.4117647058823529,0.6669508537537948,1.0,11.0,12.0,2.4454864629779536,13.615241278190224,1.954485954798249,10.166070639214139,0.3881674540469004,0
4618,229.899999988505,0.012074073210298407,9.0,12.802411,0.008493894822724802,157.74077929999999,-0.3226621962661836,7,19,0.3684210526121884,0.0056301429190113396,1,6374.540333333333,36.61,10707.77,0.003419012548831043,0,0.00021654395842355997,0.0,1,0.009094846253789519,0.758706566218735,6.0,27.0,33.0,2.7819240787739936,1.0574664443052022,1.9527364176980737,9.282231173737454,0.37840558103035526,0
5,0.6666666664444444,0.00023892944317971125,1.3701160000000012,4.089628,1.4998441991241034,19.40843972,5.19361687229984e-05,2,1,1.9999999979999998,0.59999999988,0,348.778,9900.12,375.48,26.36657078931936,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.918749049414412,0.999896132953968,9.23762474500324,0.17344563662017537,0
36,2.2727272725206613,0.004156875876841005,4.275328,2.601,0.4393856741421566,24.141660100000003,0.0006988705801263903,9,20,0.4499999999775,0.805555555533179,1,144.33916666666667,69.46,629.44,0.11035205897288008,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.762787048888931,0.9986032345840713,6.550937467695494,0.1699127753729292,0
218,42.59999999148,0.0006816162622384122,0.7,1.88151,0.04585466464310922,13.158881896,-0.322816364585539,3,3,0.9999999996666666,0.027522935779690262,1,5330.4675,1497.39,176.84,8.467484731913213,0,0.0,0.0,0,0.03211009174311927,0.0,0.0,7.0,7.0,0.0,4.110006800028353,1.9534086401120498,7.423705748265376,0.38753132192541895,0
2,0.9999999989999999,0.0040272240344730375,0.0,0.0,0.9996899995001549,3.99938,0.00015502402868569027,1,1,0.9999999989999999,0.9999999995,0,8.277,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.209527060830848,0.9996899995001549,0.0,0.17037666687453681,0
11,2.6666666657777776,0.0003597981205454539,39.9,39.9,1.1158458083164164,199.177,-0.4969298663977421,2,4,0.499999999875,0.5454545454049586,1,509.545,2570.59,3336.01,0.7705582417316583,0,0.0,0.0,0,0.09090909090909091,0.0,0.0,1.0,1.0,0.0,10.855005397952317,2.9755888222958964,8.683994936552155,0.5034254956894236,0
20,0.9999999999,0.00015439228687013254,0.01508200000000004,0.01482300000000003,0.9992396630644527,20.0887448,0.0003801142418624326,2,1,1.9999999979999998,0.1499999999925,0,2159.0025,32.45,12921.57,0.0025113047408323826,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.780207958714005,0.9992400600816999,9.4692386368005,0.1732946310663153,0
